% Pendulum System
% b = 0.1, l = 1, g = 9.8, m = 2.5
% x0 = [0, 0]
% t, theta, alpha, F
0.0,0.0,0.0,4
0.001,1.333298720426667e-06,0.0015999388281557163,0
0.002,2.9331654907532945e-06,0.001599848701393564,0
0.003,4.5329290725240845e-06,0.0015997429008774457,0
0.004,6.132573793427006e-06,0.0015996214283734952,0
0.005,7.73208398304407e-06,0.0015994842858013452,0
0.006,9.331443973004832e-06,0.0015993314752340989,0
0.007,1.0930638097139811e-05,0.0015991629988983053,0
0.008,1.252965069163394e-05,0.001598978859173927,0
0.008999999999999998,1.4128466095179941e-05,0.0015987790585943133,0
0.01,1.572706864913167e-05,0.0015985635998461648,0
0.011,1.7325442697657484e-05,0.0015983324857695024,0
0.012,1.892357258789348e-05,0.001598085719357632,0
0.013,2.0521442670096782e-05,0.0015978233037571062,0
0.014,2.2119037297798753e-05,0.0015975452422676887,0
0.015,2.371634082795817e-05,0.0015972515383423133,0
0.016,2.5313337621114357e-05,0.0015969421955870438,0
0.017,2.6910012041540286e-05,0.001596617217761031,0
0.017999999999999995,2.8506348457395616e-05,0.0015962766087764691,0
0.019,3.0102331240879724e-05,0.0015959203726985491,0
0.02,3.1697944768384624e-05,0.0015955485137454145,0
0.021,3.3293173420647927e-05,0.0015951610362881091,0
0.022,3.488800158290564e-05,0.0015947579448505312,0
0.023,3.6482413645045056e-05,0.0015943392441093778,0
0.024,3.807639400175744e-05,0.0015939049388940963,0
0.025,3.966992705269075e-05,0.001593455034186826,0
0.026,4.1262997202602305e-05,0.001592989535122344,0
0.027,4.285558886151138e-05,0.0015925084469880083,0
0.028,4.44476864448517e-05,0.0015920117752236977,0
0.029,4.6039274373623936e-05,0.001591499525421752,0
0.03,4.76303370745481e-05,0.0015909717033269102,0
0.031,4.9220858980215915e-05,0.0015904283148362466,0
0.032,5.0810824529243076e-05,0.0015898693659991059,0
0.033,5.240021816642149e-05,0.0015892948630170387,0
0.034,5.3989024342871395e-05,0.0015887048122437304,0
0.035,5.557722751619343e-05,0.001588099220184934,0
0.036,5.716481215062069e-05,0.0015874780934984,0
0.037,5.875176271717065e-05,0.0015868414389938015,0
0.038,6.0338063693797e-05,0.0015861892636326617,0
0.039,6.192369956554142e-05,0.00158552157452828,0
0.04,6.350865482468536e-05,0.0015848383789456532,0
0.041,6.509291397090163e-05,0.0015841396843013983,0
0.042,6.667646151140591e-05,0.0015834254981636723,0
